date;instance_id;segment_id;interval;uptime;heavy;car;bike;pedestrian;heavy_lft;heavy_rgt;car_lft;car_rgt;bike_lft;bike_rgt;pedestrian_lft;pedestrian_rgt;direction;car_speed_hist_0to70plus;car_speed_hist_0to120plus;timezone;v85
2022-07-12T10:00:00Z;-1;9000004042;hourly;0,5433333333;139,8773006135;3,6809815951;38,6503067485;5,5214723926;82,8220858896;57,0552147239;1,8404907975;1,8404907975;22,0858895706;16,5644171779;1,8404907975;3,6809815951;1;50, 0, 0, 0, 0, 0, 0, 50;50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0;Europe/Paris;116,0
2022-07-12T11:00:00Z;-1;9000004042;hourly;0,5558333333;149,3253373313;7,1964017991;30,5847076462;8,9955022489;124,1379310345;25,1874062969;7,1964017991;0,0000000000;26,9865067466;3,5982008996;1,7991004498;7,1964017991;1;0, 0, 25, 25, 0, 0, 0, 50;0, 0, 0, 0, 25, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;79,5
2022-07-12T12:00:00Z;-1;9000004042;hourly;0,5663888889;97,1064247180;31,7802844532;21,1868563021;12,3589995096;58,2638548308;38,8425698872;24,7179990191;7,0622854340;14,1245708681;7,0622854340;5,2967140755;7,0622854340;1;88.8888888889, 0, 5.5555555556, 5.5555555556, 0, 0, 0, 0;88.8888888889, 0, 0, 0, 5.5555555556, 0, 5.5555555556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;2,5
2022-07-12T13:00:00Z;-1;9000004042;hourly;0,2308333333;4,3321299639;60,6498194946;38,9891696751;8,6642599278;0,0000000000;4,3321299639;51,9855595668;8,6642599278;21,6606498195;17,3285198556;4,3321299639;4,3321299639;1;100, 0, 0, 0, 0, 0, 0, 0;100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;2,5
2022-07-12T14:00:00Z;-1;9000004042;hourly;0,4611111111;43,3734939759;62,8915662651;62,8915662651;8,6746987952;21,6867469880;21,6867469880;34,6987951807;28,1927710843;49,8795180723;13,0120481928;6,5060240964;2,1686746988;1;89.6551724138, 0, 0, 0, 6.8965517241, 0, 0, 3.4482758621;79.3103448276, 10.3448275862, 0, 0, 0, 0, 0, 0, 3.4482758621, 3.4482758621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4482758621, 0, 0, 0, 0, 0;Europe/Paris;5,0
2022-07-12T15:00:00Z;-1;9000004042;hourly;0,5727777778;160,6207565470;6,9835111542;76,8186226964;20,9505334627;94,2774005820;66,3433559651;5,2376333657;1,7458777886;59,3598448109;17,4587778855;8,7293889428;12,2211445199;1;25, 0, 0, 25, 0, 0, 0, 50;25, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;74,5
2022-07-12T16:00:00Z;-1;9000004042;hourly;0,5463888889;133,6044738180;9,1509913574;65,8871377733;5,4905948144;62,2267412303;71,3777325877;1,8301982715;7,3207930859;49,4153533299;16,4717844433;3,6603965430;1,8301982715;1;60, 20, 0, 0, 20, 0, 0, 0;40, 20, 20, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;43,5
2022-07-12T17:00:00Z;-1;9000004042;hourly;0,5558333333;113,3433283358;5,3973013493;34,1829085457;10,7946026987;39,5802098951;73,7631184408;0,0000000000;5,3973013493;30,5847076462;3,5982008996;3,5982008996;7,1964017991;1;66.6666666667, 0, 0, 0, 33.3333333333, 0, 0, 0;0, 66.6666666667, 0, 0, 0, 0, 0, 0, 0, 33.3333333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;45,0
2022-07-12T18:00:00Z;-1;9000004042;hourly;0,5844444444;53,0418250951;1,7110266160;22,2433460076;1,7110266160;42,7756653992;10,2661596958;1,7110266160;0,0000000000;15,3992395437;6,8441064639;0,0000000000;1,7110266160;1;0, 0, 0, 100, 0, 0, 0, 0;0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;31,5
2022-07-12T19:00:00Z;-1;9000004042;hourly;0,5402777778;38,8688946015;0,0000000000;11,1053984576;16,6580976864;27,7634961440;11,1053984576;0,0000000000;0,0000000000;7,4035989717;3,7017994859;9,2544987147;7,4035989717;1;0, 0, 0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;NA
