date;instance_id;segment_id;interval;uptime;heavy;car;bike;pedestrian;heavy_lft;heavy_rgt;car_lft;car_rgt;bike_lft;bike_rgt;pedestrian_lft;pedestrian_rgt;direction;car_speed_hist_0to70plus;car_speed_hist_0to120plus;timezone;v85
2022-05-22T07:00:00Z;-1;9000003736;hourly;0,7836111111;0,0000000000;75,2924494860;25,5228642325;15,3137185395;0,0000000000;0,0000000000;30,6274370791;44,6650124069;14,0375753279;11,4852889046;8,9330024814;6,3807160581;1;8.4745762712, 38.9830508475, 40.6779661017, 10.1694915254, 1.6949152542, 0, 0, 0;6.7796610169, 1.6949152542, 15.2542372881, 23.7288135593, 23.7288135593, 16.9491525424, 8.4745762712, 1.6949152542, 1.6949152542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;26,5
2022-05-22T08:00:00Z;-1;9000003736;hourly;0,7983333333;0,0000000000;125,2609603340;43,8413361169;16,2839248434;0,0000000000;0,0000000000;56,3674321503;68,8935281837;7,5156576200;36,3256784969;11,2734864301;5,0104384134;1;4, 25, 54, 10, 3, 1, 1, 2;4, 0, 3, 22, 37, 17, 5, 5, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1;Europe/Paris;29,5
2022-05-22T09:00:00Z;-1;9000003736;hourly;0,7977777778;0,0000000000;174,2339832869;62,6740947075;27,5766016713;0,0000000000;0,0000000000;83,9832869081;90,2506963788;35,0974930362;27,5766016713;12,5348189415;15,0417827298;1;1.4388489209, 41.726618705, 53.2374100719, 2.8776978417, 0.7194244604, 0, 0, 0;1.4388489209, 0, 11.5107913669, 30.2158273381, 38.1294964029, 15.1079136691, 2.8776978417, 0, 0.7194244604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;23,5
2022-05-22T10:00:00Z;-1;9000003736;hourly;0,7313888889;0,0000000000;179,1112799088;34,1815419673;6,8363083935;0,0000000000;0,0000000000;101,1773642233;77,9339156855;17,7744018230;16,4071401443;4,1017850361;2,7345233574;1;2.2900763359, 35.1145038168, 54.1984732824, 6.106870229, 1.5267175573, 0, 0, 0.7633587786;1.5267175573, 0.7633587786, 6.8702290076, 28.2442748092, 34.3511450382, 19.8473282443, 4.5801526718, 1.5267175573, 0.7633587786, 0.7633587786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7633587786;Europe/Paris;26,0
2022-05-22T11:00:00Z;-1;9000003736;hourly;0,5338888889;0,0000000000;73,0489073881;1,8730489074;1,8730489074;0,0000000000;0,0000000000;41,2070759625;31,8418314256;1,8730489074;0,0000000000;1,8730489074;0,0000000000;1;0, 23.0769230769, 61.5384615385, 10.2564102564, 2.5641025641, 0, 2.5641025641, 0;0, 0, 2.5641025641, 20.5128205128, 28.2051282051, 33.3333333333, 10.2564102564, 0, 2.5641025641, 0, 0, 0, 2.5641025641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;27,5
2022-05-22T12:00:00Z;-1;9000003736;hourly;0,8080555556;0,0000000000;65,5895496734;13,6129254039;3,7126160193;0,0000000000;0,0000000000;32,1760055002;33,4135441733;11,1378480578;2,4750773462;1,2375386731;2,4750773462;1;1.8867924528, 20.7547169811, 66.0377358491, 7.5471698113, 1.8867924528, 1.8867924528, 0, 0;0, 1.8867924528, 1.8867924528, 18.8679245283, 32.0754716981, 33.9622641509, 7.5471698113, 0, 1.8867924528, 0, 0, 1.8867924528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;27,0
2022-05-22T13:00:00Z;-1;9000003736;hourly;0,8038888889;0,0000000000;75,8811333794;3,7318590187;3,7318590187;0,0000000000;0,0000000000;33,5867311679;42,2944022115;1,2439530062;2,4879060124;1,2439530062;2,4879060124;1;3.2786885246, 22.9508196721, 57.3770491803, 13.1147540984, 3.2786885246, 0, 0, 0;1.6393442623, 1.6393442623, 6.5573770492, 16.393442623, 40.9836065574, 16.393442623, 9.8360655738, 3.2786885246, 0, 3.2786885246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;28,0
2022-05-22T14:00:00Z;-1;9000003736;hourly;0,6633333333;0,0000000000;132,6633165829;21,1055276382;1,5075376884;0,0000000000;0,0000000000;63,3165829146;69,3467336683;10,5527638191;10,5527638191;0,0000000000;1,5075376884;1;1.1363636364, 29.5454545455, 55.6818181818, 10.2272727273, 2.2727272727, 0, 1.1363636364, 0;0, 1.1363636364, 6.8181818182, 22.7272727273, 39.7727272727, 15.9090909091, 9.0909090909, 1.1363636364, 1.1363636364, 1.1363636364, 0, 0, 1.1363636364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;27,0
2022-05-22T15:00:00Z;-1;9000003736;hourly;0,3155555556;0,0000000000;158,4507042254;47,5352112676;6,3380281690;0,0000000000;0,0000000000;72,8873239437;85,5633802817;34,8591549296;12,6760563380;3,1690140845;3,1690140845;1;4, 42, 48, 4, 2, 0, 0, 0;4, 0, 8, 34, 36, 12, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;24,0
2022-05-22T16:00:00Z;-1;9000003736;hourly;0,2797222222;0,0000000000;146,5739821251;10,7249255214;3,5749751738;0,0000000000;0,0000000000;53,6246276068;92,9493545184;10,7249255214;0,0000000000;3,5749751738;0,0000000000;1;0, 58.5365853659, 39.0243902439, 0, 0, 2.4390243902, 0, 0;0, 0, 14.6341463415, 43.9024390244, 31.7073170732, 7.3170731707, 0, 0, 0, 0, 2.4390243902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;21,5
2022-05-22T17:00:00Z;-1;9000003736;hourly;0,7969444444;0,0000000000;130,4984315092;6,2739630533;5,0191704427;0,0000000000;0,0000000000;63,9944231440;66,5040083653;2,5095852213;3,7643778320;2,5095852213;2,5095852213;1;2.8846153846, 32.6923076923, 50.9615384615, 8.6538461538, 2.8846153846, 0.9615384615, 0.9615384615, 0;1.9230769231, 0.9615384615, 9.6153846154, 23.0769230769, 32.6923076923, 18.2692307692, 5.7692307692, 2.8846153846, 2.8846153846, 0, 0.9615384615, 0, 0, 0.9615384615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Paris;27,0
