date;instance_id;segment_id;interval;uptime;heavy;car;bike;pedestrian;heavy_lft;heavy_rgt;car_lft;car_rgt;bike_lft;bike_rgt;pedestrian_lft;pedestrian_rgt;direction;car_speed_hist_0to70plus;car_speed_hist_0to120plus;timezone;v85
2023-04-21T13:00:00Z;-1;9000004971;hourly;0,6988888889;0,0000000000;105,7895643189;5,6759132564;1,4634146341;0,0000000000;0,0000000000;97,1755312591;8,6140330598;2,8852155820;2,7906976744;0,0000000000;1,4634146341;1;20.3530967562, 29.5073215139, 40.6420803626, 8.1141752864, 1.3833260809, 0, 0, 0;20.3530967562, 0, 9.3438154101, 20.1635061038, 28.3063450409, 12.3357353217, 8.1141752864, 0, 1.3833260809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;25,5
2023-04-21T14:00:00Z;-1;9000004971;hourly;0,7311111111;0,0000000000;98,1778411399;6,6430451585;10,9297148619;0,0000000000;0,0000000000;81,5874082305;16,5904329094;6,6430451585;0,0000000000;6,7378418722;4,1918729896;1;14.2859756301, 37.6029926577, 36.9527605451, 2.8056534625, 5.5662839674, 0, 0, 2.7863337371;11.499641893, 2.7863337371, 10.9329454914, 26.6700471664, 23.2076513869, 13.7451091582, 1.412486594, 1.3931668685, 2.8765063499, 2.6897776175, 0, 0, 0, 0, 0, 2.7863337371, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;26,0
2023-04-21T15:00:00Z;-1;9000004971;hourly;0,7352777778;0,0000000000;58,2246070184;29,9443304480;10,8290968897;0,0000000000;0,0000000000;54,0138960847;4,2107109337;27,2737073026;2,6706231454;5,4840623221;5,3450345675;1;22.7146205026, 48.9096924665, 25.9064566589, 0, 2.4692303721, 0, 0, 0;15.8279737734, 6.8866467292, 4.5867602757, 44.3229321908, 14.0119932812, 11.8944633776, 0, 0, 2.4692303721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;22,5
2023-04-21T16:00:00Z;-1;9000004971;hourly;0,7594444444;0,0000000000;105,9223321598;6,9534960908;4,9930651872;0,0000000000;0,0000000000;101,9973216864;3,9250104734;5,5271886423;1,4263074485;1,2482662968;3,7447988904;1;17.4438513147, 55.8098282368, 25.532493053, 0, 0, 1.2138273955, 0, 0;10.0014849011, 7.4423664136, 18.7624726804, 37.0473555564, 24.3186656575, 1.2138273955, 0, 0, 0, 0, 0, 1.2138273955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;20,0
2023-04-21T17:00:00Z;-1;9000004971;hourly;0,7466666667;0,0000000000;78,8970415620;19,0653720232;5,2097650316;0,0000000000;0,0000000000;78,8970415620;0,0000000000;17,7869629323;1,2784090909;1,3313609467;3,8784040849;1;5.1271589608, 21.574351388, 68.1166051756, 5.1818844756, 0, 0, 0, 0;0, 5.1271589608, 4.9281684732, 16.6461829148, 44.3597451553, 23.7568600203, 3.3625428753, 1.8193416003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;25,5
2023-04-21T18:00:00Z;-1;9000004971;hourly;0,8041666667;0,0000000000;40,9909181651;3,7109100719;0,0000000000;0,0000000000;0,0000000000;40,9909181651;0,0000000000;3,7109100719;0,0000000000;0,0000000000;0,0000000000;1;0, 27.2443262379, 66.7062363929, 6.0494373692, 0, 0, 0, 0;0, 0, 6.0657833181, 21.1785429198, 36.2601889719, 30.446047421, 6.0494373692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;26,0
2023-04-21T19:00:00Z;-1;9000004971;hourly;0,0452777778;0,0000000000;22,0858895706;0,0000000000;0,0000000000;0,0000000000;0,0000000000;22,0858895706;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;1;0, 0, 100, 0, 0, 0, 0, 0;0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;21,5
2023-04-21T20:00:00Z;-1;9000004971;hourly;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;1;0, 0, 0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;NA
2023-04-21T21:00:00Z;-1;9000004971;hourly;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;1;0, 0, 0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;NA
NA;-1;9000004971;hourly;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;1;0, 0, 0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;Europe/Brussels;NA
